Date,Description,Amount,Tags
01/01/2022,Acme Salary,"£1,000.00",salary
01/01/2022,Co-Op,-£4.00,co-op food
01/01/2022,Rent,-£100.00,rent
02/01/2022,Tesco Store,-£33.98,food tesco
04/01/2022,Co-Op,-£4.00,co-op food
05/01/2022,BT Broadband,-£45.00,broadband services
06/01/2022,Netflix,-£8.00,netflix
09/01/2022,Tesco Fuel Station,-£87.35,tesco fuel
09/01/2022,Tesco Store,-£33.89,food tesco
14/01/2022,ebay,£100.00,ebay services
16/01/2022,Tesco Store,-£28.05,food tesco
17/01/2022,Cheap Chips,-£8.00,france eating-out
17/01/2022,Posh Nosh,-£25.00,france eating-out
17/01/2022,Trainline,-£20.00,travel france
20/01/2022,Fancy Hotel,-£200.00,france holiday
23/01/2022,Tesco Store,-£25.87,food tesco
25/01/2022,Shell Fuel Station,-£77.94,shell fuel
28/01/2022,Co-Op,-£4.00,co-op food
30/01/2022,Tesco Store,-£29.15,food tesco
